,images,label
0,[0 0 0 ... 0 0 0],r
1,[0 0 0 ... 0 0 0],u
2,[0 0 0 ... 0 0 0],i
3,[0 0 0 ... 0 0 0],n
4,[0 0 0 ... 0 0 0],g
5,[0 0 0 ... 0 0 0],z
6,[0 0 0 ... 0 0 0],t
7,[0 0 0 ... 0 0 0],s
8,[0 0 0 ... 0 0 0],a
9,[0 0 0 ... 0 0 0],f
10,[0 0 0 ... 0 0 0],o
11,[0 0 0 ... 0 0 0],h
12,[0 0 0 ... 0 0 0],m
13,[0 0 0 ... 0 0 0],j
14,[0 0 0 ... 0 0 0],c
15,[0 0 0 ... 0 0 0],d
16,[0 0 0 ... 0 0 0],v
17,[0 0 0 ... 0 0 0],q
18,[0 0 0 ... 0 0 0],x
19,[0 0 0 ... 0 0 0],e
20,[0 0 0 ... 0 0 0],b
21,[0 0 0 ... 0 0 0],k
22,[0 0 0 ... 0 0 0],l
23,[0 0 0 ... 0 0 0],y
24,[0 0 0 ... 0 0 0],p
25,[0 0 0 ... 0 0 0],w
